Wavelength,Black,Grey,White
400,5.269884092,10.91089035,35.19992151
401,5.213223502,11.03861127,37.45029324
402,5.193748422,11.12263198,39.77636867
403,5.195494606,11.18076438,42.16897882
404,5.151588812,11.28017434,44.67098156
405,5.18812508,11.35077699,47.18603027
406,5.201961061,11.40851873,49.67251758
407,5.115621315,11.46225189,52.15211311
408,5.18409903,11.47905895,54.52339287
409,5.180526778,11.49775134,56.72940833
410,5.106272113,11.51998679,58.77943606
411,5.121657114,11.52871461,60.74652092
412,5.089367566,11.53824229,62.48168132
413,5.053559967,11.54036067,64.04136852
414,5.060822285,11.52299545,65.46644091
415,5.034579427,11.52637686,66.67678617
416,5.019606652,11.52678745,67.72024399
417,5.023042907,11.52071316,68.60960854
418,5.025029792,11.52532784,69.38674138
419,5.013901281,11.49210596,70.03386571
420,4.99734012,11.45168514,70.57460558
421,4.98598062,11.45482803,71.01424169
422,4.997803484,11.43833833,71.38950557
423,4.993917322,11.41321973,71.71319206
424,4.961252305,11.38207007,71.9876332
425,4.95577475,11.36252486,72.19038507
426,4.97027991,11.35317483,72.37637873
427,4.99120369,11.34853297,72.54560233
428,4.981039864,11.33427674,72.69070071
429,4.968282401,11.31268194,72.81820955
430,4.950051307,11.27928451,72.9297715
431,4.923372017,11.22869307,73.02485776
432,4.913157267,11.22171666,73.14046937
433,4.916697614,11.21778189,73.21873005
434,4.929232263,11.21158018,73.26833388
435,4.930960102,11.18722267,73.34149436
436,4.916224995,11.15888251,73.40107385
437,4.898579773,11.13890514,73.45960062
438,4.888420715,11.14058044,73.52859482
439,4.881296426,11.12282778,73.55207017
440,4.877164872,11.10577412,73.59723286
441,4.87356045,11.09076909,73.66571824
442,4.841688498,11.06165413,73.67539447
443,4.84116873,11.03614473,73.71115805
444,4.848081577,11.01803984,73.75921546
445,4.831454699,11.01600147,73.80600454
446,4.830849451,10.99396903,73.81299453
447,4.822333581,10.97328515,73.82940859
448,4.800146808,10.95892693,73.86732338
449,4.805109255,10.93580881,73.89595354
450,4.79308529,10.91394943,73.92523004
451,4.777649904,10.89615393,73.95293542
